mol_id,smile,energy
7876082,O=S([CH2:1][CH:2]=[CH2:3])(C1=CC=CC=C1)=O,-171.8324526
7876083,O=S([CH2:1][CH:2]=[CH2:3])(C1=CC=CC=C1)=O,-171.8259793
7876084,O=S([CH2:1][CH:2]=[CH2:3])(C1=CC=CC=C1)=O,-131.3200663
7876091,O=S([CH2:1]/[CH:2]=[CH:3]/[CH3:4])(C1=CC=C(C)C=C1)=O,-250.4014364
7876121,[CH3:6][CH2:5][CH2:3][CH2:1][CH2:2][CH2:4][Mg]Cl,-252.1918402
7876148,O=S([CH2:1]/[CH:2]=[CH:3]/[CH2:4][CH2:5][CH2:6][CH:7]=[CH2:8])(C1=CC=CC=C1)=O,-93.26340166
7876175,O=S([CH2:1]/[CH:2]=[C:3]([CH3:5])/[CH2:4][CH2:6][CH2:7][CH:8]=[C:9]([CH3:11])[CH3:10])(C1=CC=CC=C1)=O,-93.26340166
7876628,[O:4]=[C:1]([O:3][CH3:6])/[CH:2]=[CH:5]/[CH3:7],-93.26340166
7876756,[CH3:3][Si:2]([CH3:4])([CH3:5])[CH2:1][Mg]Cl,-230.9903855
7878049,[CH3:2][C:1]([CH:4]([CH2:6][CH2:9]1)[C:5]([CH2:7][O:10][CH2:12][O:14][CH3:15])=[CH:8][C:11]1=[O:13])=[CH2:3],-92.03009104
7878080,[CH3:9][CH:4]([O:8][CH2:14][CH3:20])[O:2][CH2:1][C:3]1([CH:6]=[C:12]([C:19]([O:24][CH3:28])=[O:25])[C:18]2=[O:23])[CH:5]([CH2:11]2)[C:10]([CH3:15])([CH2:17][CH2:22][C:27]3([O:29][CH2:31][CH2:32][O:30]3)[CH:21]4[CH3:26])[C:16]4=[CH:13][CH2:7]1,-92.03009103
7878088,O=S([CH2:1]/[C:2]([CH3:4])=[CH:3]/[CH2:5][N:6]([CH3:8])[CH3:7])(C1=CC=CC=C1)=O,-407.5338484
7878536,[CH3:15][C:10]1=[CH:16][C:11]([CH3:17])=[CH:6][C:3](/[CH:1]=[CH:2]/[C:4]2=[CH:7][CH:12]=[C:18]([Cl:20])[CH:13]=[CH:8]2)=[C:5]1/[CH:9]=[CH:14]/[C:19](Cl)=[O:21],-823.8207213
7860917,[CH2:2]=[CH:1][CH:3]1[CH2:4][CH2:6][CH:8]=[CH:7][CH2:5]1,-311.7961945
7860921,[CH3:14][CH2:11][O:7][P:4]([O:8][CH2:12][CH3:15])[O:2][CH2:1][CH:3]1[CH2:5][CH2:9][CH2:13][CH:10]=[CH:6]1,-778.0090371
7860935,[CH3:2][O:1][C@@H:3]([C@@H:5]1[O:8][CH3:12])[C@H:4]([O:7][CH:11]=[CH:9]1)[CH2:6][O:10][CH3:13],-652.9472441
7860944,[NH2:4][C:2]([CH2:1][CH2:3][CH:6]=[CH2:7])=[O:5],-113.2152091
7860954,[CH2:2]=[CH:1][C:3]1=[CH:4][C:6]([CH:9]=[CH:11][C:12]([O:13][CH3:14])=[CH:10]2)=[C:8]2[CH:7]=[CH:5]1,-845.6086946
7861017,[CH3:11][C@@H:7]([C@H:10]([OH:14])[C@H:13]([CH3:16])[CH:15]=[CH2:17])[CH2:4][O:2][CH2:1][C:3]1=[CH:5][CH:8]=[CH:12][CH:9]=[CH:6]1,-734.713815
7861057,[CH3:2][CH:1]=[CH2:3],-117.8175476
7861106,[C-:6]#[O+:7],-195.1719846
7861109,[CH3:4][CH2:2][CH2:1][CH:3]=[CH2:5],-196.383518
7861246,[CH3:5][CH2:3][CH2:1][CH2:2][CH:4]=[CH2:6],-350.1369037
7861523,[CH3:9][CH2:7][CH2:5][CH2:3]/[CH:1]=[CH:2]/[CH2:4][CH2:6][CH2:8][CH3:10],-392.8033547
7861524,[CH3:4][CH:2]([CH3:5])[CH2:1][CH:3]=[CH2:6],-350.1380818
7861526,[CH3:4][CH:1]([CH:3]=[CH2:6])[CH2:2][CH3:5],-235.6685185
7861528,[CH2:1]=[C:2]1[CH2:3][CH2:5][CH2:6][CH2:4]1,-234.4589647
7861532,[C-:7]#[O+:8],-348.9325968
7861568,[CH3:4][CH:1]([CH:3]=[CH2:6])[CH2:2][CH2:5][CH3:7],-389.4210354
7861569,[C-:8]#[O+:9],-272.5107673
7861573,[C-:8]#[O+:9],-386.9921055
7861612,[CH3:6][CH2:4][CH2:2][CH2:1][CH2:3][CH:5]=[CH2:7],-389.4205167
7861613,[CH3:4][CH:1]([CH2:3][CH3:6])[CH2:2][CH:5]=[CH2:7],-389.4204987
7861620,[C-:8]#[O+:9],-388.2065935
7862012,[C-:9]#[O+:10],-427.4038095
7862018,[CH2:2]=[CH:1][CH:3]1[CH2:4][CH2:6][CH2:8][CH2:7][CH2:5]1,-313.0273988
7862052,[CH2:4]=[CH:2][CH2:1][CH:3]1[CH2:5][CH2:7][CH2:9][CH2:8][CH2:6]1,-466.7722418
7862111,[C-:13]#[O+:14],-461.7175071
7862119,[CH3:11][CH2:9][CH2:7][CH2:5][CH2:3][CH2:1][CH2:2][CH2:4][CH2:6][CH2:8][CH:10]=[CH2:12],-471.3640457
7862210,[C-:7]#[O+:8],-347.7001277
7862237,[CH2:2]=[CH:1][CH:3]1[CH2:4][CH2:6][CH:8]=[CH:7][CH2:5]1,-311.7961945
7862247,[CH3:5][C:3]([CH2:1][CH2:2][C:4]([CH3:7])=[CH2:8])=[CH2:6],-541.9412123
7862292,[CH2:4]=[C:1]([CH2:3][OH:8])[C:2]([CH3:6])([CH3:7])[CH3:5],-350.1209666
7862293,[CH3:4][CH:1]([CH2:3][CH3:7])[C:2]([CH2:5][OH:8])=[CH2:6],-350.1213092
7862315,[OH:3][CH:1]([C:4]1=[C:6]([OH:8])[CH:9]=[C:11]([O:12][CH3:13])[CH:10]=[CH:7]1)[CH:2]=[CH2:5],-613.480327
7862320,[CH3:5][C:3]([CH3:6])([OH:7])[CH2:1][CH2:2][CH2:4][C:8]([CH3:9])=[CH2:10],-543.1635569
7862326,[OH:4][CH:1]([CH:3]([CH3:8])[CH:7]=[CH2:10])[CH:2]([CH3:6])[CH2:5][CH2:9][CH3:11],-467.9686052
7862349,[O:3]=[S:1]([O:2][CH2:6][CH2:9][CH2:12][CH2:14][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH2:24][C:25]([CH3:26])=[CH2:27])([C:5]1=[CH:7][CH:10]=[C:13]([CH3:15])[CH:11]=[CH:8]1)=[O:4],-1134.146381
7862350,[CH3:15][C:13]([CH2:11][CH2:9][CH2:7][CH2:5][CH2:3][CH2:1][CH2:2][CH2:4][CH2:6][CH2:8][CH2:10][CH2:12][CH2:14][OH:17])=[CH2:16],-113.2152091
7862351,[CH3:4][Si:1]([C:3]([CH3:8])([CH3:9])[CH3:7])([CH3:5])[O:2][CH2:6][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][C:22]([CH3:23])=[CH2:24],-1059.010688
7862353,[CH3:11][C@H:7]([C@H:10]([OH:14])[C@H:13]([CH3:16])[CH:15]=[CH2:17])[CH2:4][O:2][CH2:1][C:3]1=[CH:5][CH:8]=[CH:12][CH:9]=[CH:6]1,-734.7125034
7862356,[CH3:14][C@H:12]([C@@H:13]([OH:16])[C@@H:15]([CH3:18])[CH:17]=[CH2:19])[CH2:10][CH2:7][CH2:4][O:2][CH2:1][C:3]1=[CH:5][CH:8]=[CH:11][CH:9]=[CH:6]1,-813.2830362
7862374,[CH2:8]=[CH:6][CH2:4][CH2:2][CH2:1][CH2:3][CH2:5][CH:7]=[O:9],-388.1842267
7862410,[CH3:4][C:2]([O:1][CH2:3][CH:6]=[CH2:7])=[O:5],-460.0058414
7862416,[CH3:5][C:3]([CH2:1][O:2][C:4]([CH3:7])=[O:8])=[CH2:6],-384.824511
7862428,[CH3:7][C:4]([O:2][CH2:1][C:3]1=[CH:6][CH2:10][CH2:11][CH2:9][CH2:5]1)=[O:8],-501.4716481
7862553,[CH2:1]=[C:2]([CH2:4][CH2:7][O:6]1)[C:3]1=[O:5],-344.3239384
7862555,[O:4]=[C:1]([O:3][CH2:6][CH3:8])/[CH:2]=[CH:5]/[CH3:7],-384.8291534
7862622,[C-:6]#[O+:7],-231.0448749
7862644,[CH2:2]=[CH:1][CH:3]1[O:4][CH2:6][CH:8]([CH3:9])[CH2:7][O:5]1,-424.0629314
7862690,[CH2:4]=[CH:2][O:1][C:3]1=[CH:5][CH:7]=[CH:9][CH:8]=[CH:6]1,-499.0314575
7862735,[CH2:9]=[C:5]([CH:8]([CH3:13])[CH3:12])[CH2:2][CH:1]([O:4][CH2:7][CH3:11])[O:3][CH2:6][CH3:10],-582.416606
7862763,[CH2:2]=[CH:1][F:3],-177.7276554
7862804,[CH2:3]=[CH:1][C:2]#[N:4],-115.6449356
7862822,[CH2:6]=[CH:4][CH2:2][NH:1][CH2:3][CH:5]=[CH2:7],-289.7271978
7862823,[CH3:7][CH2:5][CH2:3][CH2:1][NH:2][CH2:4][CH:6]=[CH2:8],-330.2461187
7862824,[CH2:7]=[CH:4][CH2:2][NH:1][CH:3]1[CH2:5][CH2:8][CH2:10][CH2:9][CH2:6]1,-520.9180154
7862825,[CH3:7][C:4]([CH2:2][NH:1][CH:3]1[CH2:5][CH2:9][CH2:11][CH2:10][CH2:6]1)=[CH2:8],-446.8910521
7862826,[CH2:10]=[CH:7][CH2:4][NH:2][CH2:1][C:3]1=[CH:5][CH:8]=[CH:11][CH:9]=[CH:6]1,-556.5720599
7862827,[CH3:10][C:7]([CH2:4][NH:2][CH2:1][C:3]1=[CH:5][CH:8]=[CH:12][CH:9]=[CH:6]1)=[CH2:11],-482.5542223
7862828,[CH2:12]=[CH:10][CH2:7][NH:4][CH2:2][CH2:1][C:3]1=[CH:5][CH:8]=[CH:11][CH:9]=[CH:6]1,-595.8582689
7862829,[CH2:7]=[CH:4][CH2:2][NH:1][CH:3]1[CH2:5][CH2:8][CH2:10][CH2:12][CH2:11][CH2:9][CH2:6]1,-486.1612307
