mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_1,C,157.7118,157.70997,157.70699,0,13.21,-0.3877,0.1171,0.5048,35.3641,0.044749,-40.47893,-40.476062,-40.475117,-40.498597,6.469,-395.9995946,-398.64329,-401.0146465,-372.4717721
gdb_2,N,293.60975,293.54111,191.39397,1.6256,9.46,-0.257,0.0829,0.3399,26.1563,0.034358,-56.525887,-56.523026,-56.522082,-56.544961,6.316,-276.8613634,-278.6202711,-280.3992591,-259.338802
gdb_3,O,799.58812,437.90386,282.94545,1.8511,6.31,-0.2928,0.0687,0.3615,19.0002,0.021375,-76.404702,-76.401867,-76.400922,-76.422349,6.002,-213.0876237,-213.9742939,-215.1596584,-201.4071712
gdb_4,C#C,0,35.6100361,35.6100361,0,16.28,-0.2845,0.0506,0.3351,59.5248,0.026841,-77.308427,-77.305527,-77.304583,-77.327429,8.574,-385.5019965,-387.2376864,-389.0160469,-365.800724
gdb_5,C#N,0,44.593883,44.593883,2.8937,12.99,-0.3604,0.0191,0.3796,48.7476,0.016601,-93.411888,-93.40937,-93.408425,-93.431246,6.278,-301.8205338,-302.9067519,-304.0914889,-288.7200284
gdb_6,C=O,285.48839,38.9823,34.29892,2.1089,14.18,-0.267,-0.0406,0.2263,59.9891,0.026603,-114.483613,-114.480746,-114.479802,-114.505268,6.413,-358.7569354,-360.5127056,-362.2910661,-340.4644206
gdb_7,CC,80.46225,19.90649,19.90633,0,23.95,-0.3385,0.1041,0.4426,109.5031,0.074542,-79.764152,-79.760666,-79.759722,-79.787269,10.098,-670.7882957,-675.7104763,-679.8608209,-626.9272992
gdb_8,CO,127.83497,24.85872,23.97872,1.5258,16.97,-0.2653,0.0784,0.3437,83.794,0.051208,-115.679136,-115.675816,-115.674872,-115.701876,8.751,-481.1067577,-484.3553718,-487.3197243,-450.1241284
gdb_9,CC#C,160.28041,8.59323,8.59321,0.7156,28.78,-0.2609,0.0613,0.3222,177.1963,0.05541,-116.609549,-116.60555,-116.604606,-116.633775,12.482,-670.2680908,-673.980434,-677.537155,-631.346845
gdb_10,CC#N,159.03567,9.22327,9.22324,3.8266,24.45,-0.3264,0.0376,0.364,160.7223,0.045286,-132.71815,-132.714563,-132.713619,-132.742149,10.287,-589.8120243,-592.893721,-595.857446,-557.125708
gdb_11,CC=O,57.22434,10.11122,9.07368,2.5682,25.11,-0.254,-0.0198,0.2342,166.9728,0.055355,-153.787612,-153.783728,-153.782784,-153.812518,11.219,-645.3283731,-649.1122523,-652.6689734,-606.5778098
gdb_12,C(=O)N,73.8472,11.34793,9.83639,3.7286,21.57,-0.2543,0.0302,0.2845,145.3078,0.045279,-169.860788,-169.856903,-169.855958,-169.885594,10.89,-542.6428003,-545.5368718,-548.4999693,-510.2068601
gdb_13,CCC,29.45018,8.37701,7.42076,0.0597,34.75,-0.323,0.0949,0.4179,227.1361,0.103182,-119.052475,-119.047927,-119.046983,-119.078157,14.84,-947.5229023,-954.4449541,-960.3736591,-882.7733861
gdb_14,CCO,35.09545,9.3686,8.1497,1.4131,27.87,-0.2619,0.0798,0.3417,193.1659,0.079754,-154.972731,-154.968412,-154.967467,-154.998148,13.546,-761.1495917,-766.4376101,-771.1796956,-709.3487238
gdb_15,COC,39.37691,10.04033,8.90353,1.1502,28.13,-0.2525,0.091,0.3435,187.1015,0.079534,-154.960361,-154.956045,-154.9551,-154.985747,12.934,-753.3873054,-758.6772063,-763.4192918,-701.5669847
gdb_16,C1CC1,20.15852,20.15302,12.5891,0.0005,30.82,-0.2888,0.1042,0.393,155.8145,0.081231,-117.824798,-117.821426,-117.820482,-117.849087,11.041,-804.9961556,-810.8790525,-815.6217655,-752.7434812
gdb_17,C1CO1,25.77385,22.12109,14.18066,1.7675,24.04,-0.2682,0.1042,0.3724,129.891,0.057289,-153.742562,-153.73941,-153.738466,-153.766642,9.176,-617.0590926,-621.3023085,-624.8590295,-577.7902069
gdb_18,CC(=O)C,10.12193,8.49011,4.89615,2.7362,35.53,-0.2431,-0.0087,0.2344,292.4367,0.083382,-193.08834,-193.082969,-193.082024,-193.116476,16.893,-929.8472288,-935.3642879,-940.6987419,-870.6254394
gdb_19,CC(=O)N,10.78886,9.27509,5.14977,3.6367,31.83,-0.2436,0.0347,0.2783,267.6148,0.07319,-209.159302,-209.15402,-209.153076,-209.187468,16.561,-825.7723511,-830.4560783,-835.1981638,-772.9467609
gdb_20,C(=O)(N)N,11.1475,10.36388,5.42091,3.4869,28.07,-0.2495,0.0556,0.3051,244.2308,0.063824,-225.221461,-225.217075,-225.216131,-225.247724,15.292,-716.1735117,-720.5303067,-724.6793962,-668.5311459
gdb_21,CC(C)C,7.75166,7.74847,4.48668,0.0897,45.46,-0.3167,0.0843,0.401,355.0621,0.131146,-158.342346,-158.336603,-158.335658,-158.370016,20.273,-1225.228893,-1234.067357,-1241.773795,-1139.228784
gdb_22,CC(C)O,8.67553,8.00568,4.75542,1.4259,38.58,-0.2612,0.074,0.3351,318.3721,0.107673,-194.267232,-194.261748,-194.260804,-194.294663,19.052,-1041.760949,-1048.984205,-1055.505279,-968.7258039
gdb_23,C#CC#C,0,4.4259726,4.4259726,0,38.52,-0.2599,-0.0214,0.2386,278.6264,0.037354,-153.459846,-153.455442,-153.454498,-153.482621,15.312,-672.8226799,-675.3929568,-678.3560543,-637.234762
gdb_24,C#CC#N,0,4.5793222,4.5793222,3.792,32.66,-0.3102,-0.0543,0.2559,260.1896,0.027259,-169.557758,-169.553764,-169.55282,-169.581024,12.93,-585.6591698,-587.5975451,-589.9676466,-556.7567327
gdb_25,C(#N)C#N,0,4.73269,4.73269,0.0023,27.7,-0.3696,-0.0926,0.277,242.9308,0.015951,-185.648533,-185.644825,-185.64388,-185.667652,10.398,-494.0171279,-495.2457905,-497.0222685,-468.889785
gdb_26,C#CC=O,68.5171,4.8345,4.51586,2.7824,31.14,-0.2777,-0.0735,0.2042,268.3921,0.037208,-190.624631,-190.620363,-190.619419,-190.650543,13.049,-639.5508977,-642.2058883,-645.1689858,-605.6754519
gdb_27,C(=O)C#N,67.88408,5.00823,4.66413,2.3112,26.25,-0.3166,-0.11,0.2066,251.0007,0.02654,-206.721858,-206.717875,-206.716931,-206.747625,11.329,-551.9575439,-553.9021943,-556.2722958,-524.3684832
gdb_28,C(=O)C=O,56.25048,4.77441,4.40088,0.002,26.12,-0.2668,-0.1113,0.1555,266.8164,0.036943,-227.798785,-227.79457,-227.793626,-227.825074,12.147,-612.1582473,-614.8458684,-617.8089659,-578.2633487
gdb_29,CC#CC,80.28766,3.3688,3.3688,0,42.32,-0.2412,0.0684,0.3096,400.2236,0.083896,-155.908941,-155.90318,-155.902236,-155.937641,17.447,-953.9485944,-959.2215526,-964.5566341,-895.3367438
gdb_30,CCC#C,27.39459,4.53005,4.08342,0.7067,40.09,-0.2592,0.0566,0.3157,333.9589,0.084338,-155.897345,-155.892291,-155.891347,-155.924226,17.13,-946.6720001,-952.3886071,-957.7236886,-886.9187106
gdb_31,CCC#N,28.0016,4.67752,4.21765,3.9233,35.38,-0.3213,0.034,0.3553,314.5335,0.07419,-172.006141,-172.001467,-172.000523,-172.032826,14.988,-866.3382979,-871.404178,-876.1462636,-812.8393906
gdb_32,C(C#N)N,32.19893,4.76299,4.30696,4.4361,31.81,-0.2683,0.0173,0.2855,295.6635,0.063305,-188.042067,-188.037478,-188.036534,-188.06863,14.488,-740.2780149,-744.5080531,-748.6571426,-693.0799254
gdb_33,C#CCO,35.11615,4.66117,4.22354,1.7211,33.1,-0.2595,0.0277,0.2872,300.0993,0.060632,-191.810916,-191.806025,-191.805081,-191.837634,15.855,-756.1037919,-760.1449498,-764.2940393,-709.3631565
gdb_34,C(C#N)O,35.93172,4.83443,4.37827,4.6788,28.56,-0.3018,0.0022,0.3039,280.6659,0.050262,-207.916786,-207.912215,-207.911271,-207.943384,13.845,-673.9339983,-677.2867789,-680.8428724,-633.4954359
gdb_35,CCC=O,26.14564,4.2893,4.12773,2.6741,35.83,-0.25,-0.0205,0.2295,333.3276,0.084175,-193.075202,-193.070116,-193.069171,-193.102798,15.954,-921.6030155,-927.2989147,-932.6333687,-862.0423713
gdb_36,CNC=O,19.98749,6.11589,4.82584,3.7071,32.78,-0.2516,0.0335,0.2851,279.7863,0.074166,-209.144909,-209.139976,-209.139032,-209.172305,15.058,-816.740614,-821.6433419,-826.3854274,-763.431842
gdb_37,COC=O,48.62351,4.67298,4.38187,3.92,29.47,-0.2814,0.0074,0.2888,293.917,0.061327,-229.013797,-229.009003,-229.008059,-229.041086,13.885,-746.7375925,-750.8389914,-754.9880809,-700.0992411
gdb_38,C(C=O)O,36.49282,4.31175,4.04493,1.7341,28.53,-0.2537,-0.0341,0.2196,303.8129,0.060508,-228.992613,-228.987769,-228.986825,-229.019918,14.78,-733.4444419,-737.5144652,-741.6635548,-686.8161306
gdb_39,CCCC,23.44662,3.60588,3.38683,0,45.71,-0.317,0.0937,0.4107,426.2996,0.131708,-158.340943,-158.33517,-158.334226,-158.36894,19.668,-1224.348498,-1233.168137,-1240.875202,-1138.553585
gdb_40,CCCO,26.59789,3.79186,3.53779,1.3402,38.61,-0.2619,0.081,0.3429,382.8628,0.108241,-194.261089,-194.255495,-194.254551,-194.28893,18.431,-1037.906161,-1045.060391,-1051.581465,-965.1282948
gdb_41,CCOC,28.29567,4.14901,3.88349,1.0363,39.34,-0.2503,0.0925,0.3428,368.9331,0.107895,-194.254127,-194.248585,-194.247641,-194.281899,17.888,-1033.537443,-1040.724304,-1047.245378,-960.716279
gdb_42,C(CO)O,14.79671,5.6956,4.58846,0.0075,31.42,-0.2594,0.0584,0.3179,297.8398,0.085172,-230.183076,-230.177723,-230.176779,-230.211195,16.837,-852.6190686,-858.1467954,-863.4818769,-793.1305879
gdb_43,CC1CC1,15.61472,6.31363,5.54514,0.1136,41.96,-0.2727,0.1012,0.3738,298.6061,0.109284,-157.116735,-157.11209,-157.111146,-157.143262,16.49,-1083.99858,-1091.748943,-1098.270017,-1010.65219
gdb_44,CC1CO1,18.21931,6.63877,5.92459,1.812,35.01,-0.2633,0.1052,0.3685,267.2979,0.085275,-193.039603,-193.035186,-193.034242,-193.065979,14.764,-899.2643226,-905.3800253,-910.7151069,-838.9381174
gdb_45,CN1CC1,16.58914,7.18798,6.11415,1.1353,39.02,-0.2304,0.0968,0.3271,270.5508,0.097671,-173.147782,-173.143343,-173.142399,-173.174073,15.298,-954.8766802,-961.8671305,-967.795208,-887.7595726
gdb_46,C1CC1O,16.79477,6.71015,5.86781,1.3894,34.64,-0.239,0.0775,0.3166,263.966,0.085106,-193.034988,-193.030356,-193.029411,-193.061689,15.679,-896.3683686,-902.3491569,-907.6836109,-836.2461038
gdb_47,C1CCC1,10.66107,10.66107,6.30452,0,41.83,-0.2982,0.0956,0.3938,268.4432,0.110511,-157.115484,-157.111322,-157.110378,-157.141657,14.696,-1083.213566,-1091.267016,-1097.78809,-1009.645038
gdb_48,C1COC1,12.06545,11.77731,6.71997,1.7978,34.56,-0.2424,0.0859,0.3283,236.9759,0.086675,-193.034094,-193.029968,-193.029024,-193.060777,12.915,-895.8073755,-902.1056834,-907.4407649,-835.6738156
gdb_49,CC(=NO)C,8.63483,4.11977,2.88825,0.6875,45.37,-0.2392,0.0192,0.2584,452.5112,0.100501,-248.375248,-248.368823,-248.367879,-248.405354,21.616,-1057.089739,-1063.722509,-1070.242955,-982.9834359
gdb_50,c1cc[nH]c1,9.17136,9.04195,4.5531,1.8689,43.14,-0.2029,0.0499,0.2528,303.9808,0.082433,-210.101789,-210.097816,-210.096872,-210.12818,14.821,-1022.510228,-1028.905172,-1034.239626,-959.6997144
gdb_51,c1cnc[nH]1,9.77329,9.41192,4.7946,3.6193,39.13,-0.2253,0.0332,0.2585,283.6817,0.071145,-226.160842,-226.157088,-226.156144,-226.187104,13.371,-910.9623454,-916.6055338,-921.3469918,-854.4482574
gdb_52,c1ccoc1,9.50228,9.29497,4.69874,0.5571,39.2,-0.2246,0.0199,0.2445,289.005,0.069883,-229.969129,-229.965414,-229.96447,-229.995393,13.358,-951.5358223,-957.2041111,-961.9455691,-895.3831795
gdb_53,c1cocn1,10.10926,9.69372,4.94857,1.5081,35.17,-0.2509,0.001,0.2519,269.2444,0.058593,-246.02915,-246.025614,-246.024669,-246.055309,12.04,-840.5953687,-845.4868013,-849.6346358,-790.7542113
gdb_54,CC(C)(C)C,4.4178,4.41753,4.41717,0.0003,56.01,-0.3145,0.0737,0.3882,486.2719,0.158836,-197.632222,-197.625241,-197.624297,-197.661411,26.084,-1502.938021,-1513.665915,-1523.151341,-1395.393018
gdb_55,CC(C)(C)O,4.69474,4.66938,4.47909,1.384,49.04,-0.2601,0.0664,0.3265,449.0573,0.134977,-233.560626,-233.553779,-233.552834,-233.589759,25.128,-1321.677654,-1330.711901,-1339.010707,-1227.212449
gdb_56,CC(=O)C#C,10.21876,4.04324,2.94978,2.8579,42.02,-0.2654,-0.0575,0.2079,416.7799,0.065175,-229.927277,-229.921622,-229.920677,-229.955843,18.723,-925.2733157,-929.724237,-934.4650675,-870.5651985
